,Date,Day,Territory,Menu Item,Price (MYR),Price (USD),Category,Menu
88,2022/11/05,Sat,Malaysia,Family Meal C,49.06,10.33,Family Meal,Regular
89,2022/11/05,Sat,Malaysia,Parties@Home Package A,94.34,19.87,Parties@Home,Regular
90,2022/11/05,Sat,Malaysia,Parties@Home Package B,122.64,25.83,Parties@Home,Regular
91,2022/11/05,Sat,Malaysia,Parties@Home Package C,141.51,29.80,Parties@Home,Regular
92,2022/11/05,Sat,Malaysia,Chicken Burger,10.66,2.25,Happy Meals,Regular
93,2022/11/05,Sat,Malaysia,4pcs Chicken McNuggets®,10.66,2.25,Happy Meals,Regular
94,2022/11/05,Sat,Malaysia,Ayam Goreng McD™,10.66,2.25,Happy Meals,Regular
95,2022/11/05,Sat,Malaysia,Cheeseburger,10.66,2.25,Happy Meals,Regular
96,2022/11/05,Sat,Malaysia,Ayam Goreng McD™ Spicy (1pc),10.66,2.25,Happy Meals,Regular
97,2022/11/05,Sat,Malaysia,Bubur Ayam McD™,10.66,2.25,Happy Meals,Regular
98,2022/11/05,Sat,Malaysia,Minions Carrier,30.00,6.32,Happy Meals,Regular
99,2022/11/05,Sat,Malaysia,Latte,7.83,1.65,McCafe Drinks,Regular
100,2022/11/05,Sat,Malaysia,Iced Latte,9.34,1.97,McCafe Drinks,Regular
101,2022/11/05,Sat,Malaysia,2x Iced Latte (M),11.32,2.38,McCafe Drinks,Regular
102,2022/11/05,Sat,Malaysia,Cappuccino,7.83,1.65,McCafe Drinks,Regular
103,2022/11/05,Sat,Malaysia,Americano,5.94,1.25,McCafe Drinks,Regular
104,2022/11/05,Sat,Malaysia,Iced Americano,7.45,1.57,McCafe Drinks,Regular
105,2022/11/05,Sat,Malaysia,Iced Chocolate,9.34,1.97,McCafe Drinks,Regular
106,2022/11/05,Sat,Malaysia,Ice Blended Chocolate,12.74,2.68,McCafe Drinks,Regular
107,2022/11/05,Sat,Malaysia,Ice Blended Latte,12.74,2.68,McCafe Drinks,Regular
108,2022/11/05,Sat,Malaysia,Iced Blended Milo,14.06,2.96,McCafe Drinks,Regular
109,2022/11/05,Sat,Malaysia,Iced Blended Milo with KitKat,13.68,2.88,McCafe Drinks,Regular
110,2022/11/05,Sat,Malaysia,Iced Mocha,9.34,1.97,McCafe Drinks,Regular
111,2022/11/05,Sat,Malaysia,Ice Blended Mocha,12.74,2.68,McCafe Drinks,Regular
112,2022/11/05,Sat,Malaysia,Ice Blended Lychee Berry,8.96,1.89,McCafe Drinks,Regular
113,2022/11/05,Sat,Malaysia,Ice Blended Strawberry,8.96,1.89,McCafe Drinks,Regular
114,2022/11/05,Sat,Malaysia,Ice Blended Mango Peach,8.96,1.89,McCafe Drinks,Regular
115,2022/11/05,Sat,Malaysia,Pandan Gula Cake + McCafé Drink,13.20,2.78,McCafe Drinks,Regular
116,2022/11/05,Sat,Malaysia,Apple Crumble Cheesecake + McCafé Drink,13.20,2.78,McCafe Drinks,Regular
117,2022/11/05,Sat,Malaysia,Belgium Chocolate + McCafé Drink,13.20,2.78,McCafe Drinks,Regular
118,2022/11/05,Sat,Malaysia,Red Velvet Cake + McCafé Drink,13.20,2.78,McCafe Drinks,Regular
119,2022/11/05,Sat,Malaysia,Classic Cheesecake + McCafé Drink,14.14,2.98,McCafe Drinks,Regular
120,2022/11/05,Sat,Malaysia,Pandan Gula Cake + McCafé Drink,13.20,2.78,McCafe Cakes,Regular
121,2022/11/05,Sat,Malaysia,Apple Crumble Cheesecake + McCafé Drink,13.20,2.78,McCafe Cakes,Regular
122,2022/11/05,Sat,Malaysia,Belgium Chocolate + McCafé Drink,13.20,2.78,McCafe Cakes,Regular
123,2022/11/05,Sat,Malaysia,Red Velvet Cake + McCafé Drink,13.20,2.78,McCafe Cakes,Regular
124,2022/11/05,Sat,Malaysia,Classic Cheesecake + McCafé Drink,14.14,2.98,McCafe Cakes,Regular
125,2022/11/05,Sat,Malaysia,Pandan Gula Melaka Cake,11.79,2.48,McCafe Cakes,Regular
126,2022/11/05,Sat,Malaysia,Apple Crumble Cheesecake,11.79,2.48,McCafe Cakes,Regular
