,Date,Day,Territory,Menu Item,Price (IDR),Price (USD),Category,Menu
36,2025/01/01,Wed,Indonesia,HEMAT - Ayam Krispy McD + 4 McNuggets + Rice  + French Fries  + 2 Fruit Tea Lemon,59000.00,3.63,Exclusive Delivery,Regular
37,2025/01/01,Wed,Indonesia,HEMAT - 2 Paket HeBat Korean Soy Garlic Wings,55000.00,3.38,Exclusive Delivery,Regular
38,2025/01/01,Wed,Indonesia,Paket Kenyang,150000.00,9.22,Exclusive Delivery,Regular
39,2025/01/01,Wed,Indonesia,Paket Ngemil,110000.00,6.76,Exclusive Delivery,Regular
40,2025/01/01,Wed,Indonesia,Paket Manis,71500.00,4.40,Exclusive Delivery,Regular
41,2025/01/01,Wed,Indonesia,Big Mac®,44500.00,2.74,Burger & McNuggets,Regular
42,2025/01/01,Wed,Indonesia,Triple Cheeseburger,63500.00,3.90,Burger & McNuggets,Regular
43,2025/01/01,Wed,Indonesia,Double Cheeseburger,42000.00,2.58,Burger & McNuggets,Regular
44,2025/01/01,Wed,Indonesia,Cheeseburger Deluxe,35000.00,2.15,Burger & McNuggets,Regular
45,2025/01/01,Wed,Indonesia,Cheeseburger,33000.00,2.03,Burger & McNuggets,Regular
46,2025/01/01,Wed,Indonesia,Beef Burger Deluxe,27500.00,1.69,Burger & McNuggets,Regular
47,2025/01/01,Wed,Indonesia,McSpicy Chicken Burger,42500.00,2.61,Burger & McNuggets,Regular
48,2025/01/01,Wed,Indonesia,McChicken Burger,33000.00,2.03,Burger & McNuggets,Regular
49,2025/01/01,Wed,Indonesia,Chicken Burger Deluxe,27500.00,1.69,Burger & McNuggets,Regular
50,2025/01/01,Wed,Indonesia,Fish Burger,33500.00,2.06,Burger & McNuggets,Regular
51,2025/01/01,Wed,Indonesia,McNuggets®  9pcs,55000.00,3.38,Burger & McNuggets,Regular
52,2025/01/01,Wed,Indonesia,McNuggets® 6pcs,52500.00,3.23,Burger & McNuggets,Regular
53,2025/01/01,Wed,Indonesia,McNuggets®  4pcs,27000.00,1.66,Burger & McNuggets,Regular
54,2025/01/01,Wed,Indonesia,PaNas 2 with Fries,53500.00,3.29,Ayam McD,Regular
55,2025/01/01,Wed,Indonesia,PaNas 2 with Rice,51500.00,3.17,Ayam McD,Regular
56,2025/01/01,Wed,Indonesia,PaNas Spesial,47000.00,2.89,Ayam McD,Regular
57,2025/01/01,Wed,Indonesia,PaNas 1,39000.00,2.40,Ayam McD,Regular
58,2025/01/01,Wed,Indonesia,PaNas Korean Soy Garlic Wings,45000.00,2.77,Ayam McD,Regular
59,2025/01/01,Wed,Indonesia,PaMer 7,185000.00,11.38,Ayam McD,Regular
60,2025/01/01,Wed,Indonesia,PaMer 5,132500.00,8.15,Ayam McD,Regular
61,2025/01/01,Wed,Indonesia,Paket Berlima,135000.00,8.30,Ayam McD,Regular
62,2025/01/01,Wed,Indonesia,Paket Ber 4,90000.00,5.53,Ayam McD,Regular
63,2025/01/01,Wed,Indonesia,Paket Big Order,587500.00,36.12,Ayam McD,Regular
64,2025/01/01,Wed,Indonesia,Paket Keluarga Seru Tanpa Mainan,75500.00,4.64,Family Package,Regular
65,2025/01/01,Wed,Indonesia,Paket Keluarga Seru Dengan Mainan,94000.00,5.78,Family Package,Regular
66,2025/01/01,Wed,Indonesia,PaMer 5,132500.00,8.15,Family Package,Regular
67,2025/01/01,Wed,Indonesia,PaMer 7,185000.00,11.38,Family Package,Regular
68,2025/01/01,Wed,Indonesia,Paket Berlima,135000.00,8.30,Family Package,Regular
69,2025/01/01,Wed,Indonesia,Paket Ber 4,90000.00,5.53,Family Package,Regular
70,2025/01/01,Wed,Indonesia,Happy Meal® McNuggets® 4Pcs,45000.00,2.77,Happy Meals,Regular
71,2025/01/01,Wed,Indonesia,Happy Meal® Beef Burger,45000.00,2.77,Happy Meals,Regular
72,2025/01/01,Wed,Indonesia,Happy Meal® Chicken,45000.00,2.77,Happy Meals,Regular
73,2025/01/01,Wed,Indonesia,Paket HeBat McSpaghetti,20000.00,1.23,Paket HeBat,Regular
74,2025/01/01,Wed,Indonesia,Paket HeBat - Korean Soy Garlic Wings,30500.00,1.88,Paket HeBat,Regular
75,2025/01/01,Wed,Indonesia,Paket HeBat - Beef Burger Deluxe,33000.00,2.03,Paket HeBat,Regular
76,2025/01/01,Wed,Indonesia,Paket HeBat - Chicken Burger Deluxe,33000.00,2.03,Paket HeBat,Regular
77,2025/01/01,Wed,Indonesia,Chocolate Sundae,12000.00,0.74,Menu Receh,Regular
78,2025/01/01,Wed,Indonesia,Strawberry Sundae,12000.00,0.74,Menu Receh,Regular
79,2025/01/01,Wed,Indonesia,"French Fries, small",12000.00,0.74,Menu Receh,Regular
80,2025/01/01,Wed,Indonesia,McFloat Fanta,12000.00,0.74,Menu Receh,Regular
81,2025/01/01,Wed,Indonesia,McFloat Coke,12000.00,0.74,Menu Receh,Regular
