,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
163,2024/01/26,Fri,Pakistan,Cappuccino,427.00,1.53,McCafé Drinks,Breakfast
164,2024/01/26,Fri,Pakistan,Latte,427.00,1.53,McCafé Drinks,Breakfast
165,2024/01/26,Fri,Pakistan,Mochaccino,461.00,1.65,McCafé Drinks,Breakfast
166,2024/01/26,Fri,Pakistan,Hazelnut Latte,444.00,1.59,McCafé Drinks,Breakfast
167,2024/01/26,Fri,Pakistan,Hot Chocolate,461.00,1.65,McCafé Drinks,Breakfast
168,2024/01/26,Fri,Pakistan,Caramel Latte,444.00,1.59,McCafé Drinks,Breakfast
169,2024/01/26,Fri,Pakistan,Americano,332.00,1.19,McCafé Drinks,Breakfast
170,2024/01/26,Fri,Pakistan,Vanilla Frappe,608.00,2.17,McCafé Drinks,Breakfast
171,2024/01/26,Fri,Pakistan,Chocolate Frappe,608.00,2.17,McCafé Drinks,Breakfast
172,2024/01/26,Fri,Pakistan,Chocolate Oreo Frappe,608.00,2.17,McCafé Drinks,Breakfast
173,2024/01/26,Fri,Pakistan,Mocha Frappe,625.00,2.23,McCafé Drinks,Breakfast
174,2024/01/26,Fri,Pakistan,Iced Latte,478.00,1.71,McCafé Drinks,Breakfast
175,2024/01/26,Fri,Pakistan,Caramel Iced Latte,478.00,1.71,McCafé Drinks,Breakfast
176,2024/01/26,Fri,Pakistan,Hazelnut Iced Latte,478.00,1.71,McCafé Drinks,Breakfast
177,2024/01/26,Fri,Pakistan,Ice Tea Rasberry,435.00,1.55,McCafé Drinks,Breakfast
178,2024/01/26,Fri,Pakistan,Ice Tea Peach,435.00,1.55,McCafé Drinks,Breakfast
179,2024/01/26,Fri,Pakistan,Ice Tea Lemon,435.00,1.55,McCafé Drinks,Breakfast
180,2024/01/26,Fri,Pakistan,Ice Tea Mango,435.00,1.55,McCafé Drinks,Breakfast
