,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
88,2022/08/20,Sat,South Korea,Iced Americano (No Syrup),3100.00,2.32,Beverages,Regular Menu
89,2022/08/20,Sat,South Korea,Iced Drip Coffee (No Syrup),1900.00,1.42,Beverages,Regular Menu
90,2022/08/20,Sat,South Korea,Coca-Cola,2100.00,1.57,Beverages,Regular Menu
91,2022/08/20,Sat,South Korea,Coca-Cola Zero,2100.00,1.57,Beverages,Regular Menu
92,2022/08/20,Sat,South Korea,Sprite,2100.00,1.57,Beverages,Regular Menu
93,2022/08/20,Sat,South Korea,Fanta,2100.00,1.57,Beverages,Regular Menu
94,2022/08/20,Sat,South Korea,Decaffeine Vanilla Latte,4100.00,3.06,Beverages,Regular Menu
95,2022/08/20,Sat,South Korea,Decaffeine Café Latte,3600.00,2.69,Beverages,Regular Menu
96,2022/08/20,Sat,South Korea,Decaffeine Cappuccino,3600.00,2.69,Beverages,Regular Menu
97,2022/08/20,Sat,South Korea,Decaffeine Americano,3200.00,2.39,Beverages,Regular Menu
98,2022/08/20,Sat,South Korea,Decaffeine Espresso,2300.00,1.72,Beverages,Regular Menu
99,2022/08/20,Sat,South Korea,Decaffeine Iced Vanilla Latte,4100.00,3.06,Beverages,Regular Menu
100,2022/08/20,Sat,South Korea,Decaffeine Iced Café Latte (No Syrup),3600.00,2.69,Beverages,Regular Menu
101,2022/08/20,Sat,South Korea,Decaffeine Iced Americano (No Syrup),3200.00,2.39,Beverages,Regular Menu
102,2022/08/20,Sat,South Korea,Vanilla Shake,3200.00,2.39,Beverages,Regular Menu
103,2022/08/20,Sat,South Korea,Strawberry Shake,3200.00,2.39,Beverages,Regular Menu
104,2022/08/20,Sat,South Korea,Chocolate Shake,3200.00,2.39,Beverages,Regular Menu
105,2022/08/20,Sat,South Korea,Milk,2200.00,1.64,Beverages,Regular Menu
106,2022/08/20,Sat,South Korea,Mineral Water,1900.00,1.42,Beverages,Regular Menu
