,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
48,2022/03/04,Fri,Taiwan,Iced Honey Latte-L2,90.00,3.20,McCafé,Regular
49,2022/03/04,Fri,Taiwan,Honey Latte-L2,90.00,3.20,McCafé,Regular
50,2022/03/04,Fri,Taiwan,Honey Iced Tea,55.00,1.96,McCafé,Regular
51,2022/03/04,Fri,Taiwan,Iced Latte (No sugar),75.00,2.67,McCafé,Regular
52,2022/03/04,Fri,Taiwan,12oz Iced Americano (No sugar),65.00,2.31,McCafé,Regular
53,2022/03/04,Fri,Taiwan,Hot Latte,75.00,2.67,McCafé,Regular
54,2022/03/04,Fri,Taiwan,12oz Americano,65.00,2.31,McCafé,Regular
55,2022/03/04,Fri,Taiwan,Iced Assam Latte,75.00,2.67,McCafé,Regular
56,2022/03/04,Fri,Taiwan,Assam Latte,75.00,2.67,McCafé,Regular
57,2022/03/04,Fri,Taiwan,Sugar-free Iced Black Tea,33.00,1.18,Beverage,Regular
58,2022/03/04,Fri,Taiwan,Sugar-free Iced Green Tea,33.00,1.18,Beverage,Regular
