,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
20,2023/12/21,Thu,Pakistan,Chicken McNuggets 9 pcs,694.00,2.44,Chicken & Fish,Regular
21,2023/12/21,Thu,Pakistan,Chicken McNuggets 20 pcs,1151.00,4.05,Chicken & Fish,Regular
22,2023/12/21,Thu,Pakistan,Chicken Burger with Cheese,384.00,1.35,Chicken & Fish,Regular
23,2023/12/21,Thu,Pakistan,Mini McArabia,332.00,1.17,Chicken & Fish,Regular
24,2023/12/21,Thu,Pakistan,Cheese Burger,392.00,1.38,Chicken & Fish,Regular
25,2023/12/21,Thu,Pakistan,Filet-O-Fish ,616.00,2.17,Chicken & Fish,Regular
26,2023/12/21,Thu,Pakistan,Garlic Mayo Wrap,401.00,1.41,Chicken & Fish,Regular
27,2023/12/21,Thu,Pakistan,Chipotle Wrap,401.00,1.41,Chicken & Fish,Regular
28,2023/12/21,Thu,Pakistan,BBQ Wrap,401.00,1.41,Chicken & Fish,Regular
29,2023/12/21,Thu,Pakistan,Big Mac,703.00,2.48,Beef,Regular
30,2023/12/21,Thu,Pakistan,Quarter Pounder,703.00,2.48,Beef,Regular
31,2023/12/21,Thu,Pakistan,McRoyale ,703.00,2.48,Beef,Regular
32,2023/12/21,Thu,Pakistan,Double Cheese Burger,651.00,2.29,Beef,Regular
33,2023/12/21,Thu,Pakistan,Spicy McCrispy Double,776.00,2.73,Double Patty Burgers,Regular
34,2023/12/21,Thu,Pakistan,Hot n Crispy Double,345.00,1.21,Double Patty Burgers,Regular
35,2023/12/21,Thu,Pakistan,McChicken Double,603.00,2.12,Double Patty Burgers,Regular
36,2023/12/21,Thu,Pakistan,Double Big Mac,948.00,3.34,Double Patty Burgers,Regular
37,2023/12/21,Thu,Pakistan,Quarter Pounder Double,1034.00,3.64,Double Patty Burgers,Regular
38,2023/12/21,Thu,Pakistan,Filet-O-Fish Double,888.00,3.13,Double Patty Burgers,Regular
39,2023/12/21,Thu,Pakistan,2 Pieces Crispy Chicken,634.00,2.23,Crispy Chicken,Regular
40,2023/12/21,Thu,Pakistan,3 Pieces Spicy Chicken with Regular Fries & Drink,806.00,2.84,Crispy Chicken,Regular
41,2023/12/21,Thu,Pakistan,3 Pieces Crispy Chicken,806.00,2.84,Crispy Chicken,Regular
42,2023/12/21,Thu,Pakistan,9pcs Spicy Chicken Bucket Meal,2013.00,7.09,Crispy Chicken,Regular
43,2023/12/21,Thu,Pakistan,9pcs Crispy Chicken Bucket Meal,2013.00,7.09,Crispy Chicken,Regular
44,2023/12/21,Thu,Pakistan,9pcs Spicy Chicken Bucket Meal,2013.00,7.09,Share Bag,Regular
45,2023/12/21,Thu,Pakistan,9pcs Crispy Chicken Bucket Meal,2013.00,7.09,Share Bag,Regular
46,2023/12/21,Thu,Pakistan,Happy Meal Beef Burger ,530.00,1.87,Happy Meals,Regular
47,2023/12/21,Thu,Pakistan,Happy Meal Cheese Burger,569.00,2.00,Happy Meals,Regular
48,2023/12/21,Thu,Pakistan,Happy Meal Chicken Burger ,569.00,2.00,Happy Meals,Regular
49,2023/12/21,Thu,Pakistan,Happy Meal 4pcs Chicken McNuggets,569.00,2.00,Happy Meals,Regular
50,2023/12/21,Thu,Pakistan,McFlurry - Fudge Brownie,483.00,1.70,Desserts,Regular
51,2023/12/21,Thu,Pakistan,Double Chocolate Pie,375.00,1.32,Desserts,Regular
52,2023/12/21,Thu,Pakistan,McFlurry - Oreo,435.00,1.53,Desserts,Regular
53,2023/12/21,Thu,Pakistan,Chocolate Sundae,375.00,1.32,Desserts,Regular
54,2023/12/21,Thu,Pakistan,Apple Pie,375.00,1.32,Desserts,Regular
55,2023/12/21,Thu,Pakistan,Cardamom Tea,289.00,1.02,Beverages,Regular
56,2023/12/21,Thu,Pakistan,Regular Tea,254.00,0.89,Beverages,Regular
57,2023/12/21,Thu,Pakistan,Green Tea,203.00,0.71,Beverages,Regular
58,2023/12/21,Thu,Pakistan,Orange Juice,332.00,1.17,Beverages,Regular
59,2023/12/21,Thu,Pakistan,Vanila Shake,375.00,1.32,Beverages,Regular
60,2023/12/21,Thu,Pakistan,Chocolate Shake,375.00,1.32,Beverages,Regular
61,2023/12/21,Thu,Pakistan,Strawberry Shake,375.00,1.32,Beverages,Regular
62,2023/12/21,Thu,Pakistan,McFizz Strawberry,289.00,1.02,Beverages,Regular
63,2023/12/21,Thu,Pakistan,Coke,203.00,0.71,Beverages,Regular
64,2023/12/21,Thu,Pakistan,Sprite,203.00,0.71,Beverages,Regular
65,2023/12/21,Thu,Pakistan,Fanta,203.00,0.71,Beverages,Regular
66,2023/12/21,Thu,Pakistan,Coke Zero,203.00,0.71,Beverages,Regular
67,2023/12/21,Thu,Pakistan,Bottled Water,39.00,0.14,Beverages,Regular
68,2023/12/21,Thu,Pakistan,Regular Fries,289.00,1.02,Fries & Sides,Regular
69,2023/12/21,Thu,Pakistan,Chicken McNuggets 6 pcs,530.00,1.87,Fries & Sides,Regular
70,2023/12/21,Thu,Pakistan,Chicken McNuggets 9 pcs,694.00,2.44,Fries & Sides,Regular
71,2023/12/21,Thu,Pakistan,Chicken McNuggets 20 pcs,1151.00,4.05,Fries & Sides,Regular
72,2023/12/21,Thu,Pakistan,Any Donut with Coffee,547.00,1.93,McCafé Bakery,Regular
73,2023/12/21,Thu,Pakistan,Chocolate Lava Cake,315.00,1.11,McCafé Bakery,Regular
74,2023/12/21,Thu,Pakistan,Red Velvet Lave Cake,315.00,1.11,McCafé Bakery,Regular
75,2023/12/21,Thu,Pakistan,Oreo Cheese Cake,504.00,1.77,McCafé Bakery,Regular
76,2023/12/21,Thu,Pakistan,Caramel Cake,504.00,1.77,McCafé Bakery,Regular
77,2023/12/21,Thu,Pakistan,Red Velvet Cheese Cake,504.00,1.77,McCafé Bakery,Regular
78,2023/12/21,Thu,Pakistan,Chocolate Fudge Cake,504.00,1.77,McCafé Bakery,Regular
79,2023/12/21,Thu,Pakistan,6pcs Donuts,1323.00,4.66,McCafé Bakery,Regular
80,2023/12/21,Thu,Pakistan,Boston Cream,263.00,0.93,McCafé Bakery,Regular
81,2023/12/21,Thu,Pakistan,Chocolate Fudge,263.00,0.93,McCafé Bakery,Regular
82,2023/12/21,Thu,Pakistan,Caramel Cream,263.00,0.93,McCafé Bakery,Regular
83,2023/12/21,Thu,Pakistan,Vanilla Sprinkle,263.00,0.93,McCafé Bakery,Regular
84,2023/12/21,Thu,Pakistan,Chocolate Sprinkle,263.00,0.93,McCafé Bakery,Regular
